001,อาหาร,97,350.0,200.0
002,คอนโดแมว,10,4500.0,3500.0
003,ห้องน้ำแมว,100,25000.0,22000.0
004,ลู่วิ่ง,0,12000.0,9500.0
005,กล้อง,12,3800.0,3000.0
006,ขนมแมว,314,150.0,50.0
007,ตู้เป่า,29,3200.0,2500.0
008,กระเป๋า,60,1800.0,1400.0
009,ชามข้าว,28,2200.0,1700.0
010,น้ำพุแมว,13,1500.0,1100.0
011,เปลแมว,45,900.0,600.0
012,ที่ฝนเล็บ,120,650.0,400.0
013,เต็นท์,30,1200.0,800.0
014,เบาะนอน,55,1100.0,700.0
015,เป้อุ้ม,150,800.0,500.0
016,เนื้อปลา,300,250.0,120.0
017,ปลอกคอ,400,180.0,80.0
018,ไม้ตกแมว,600,120.0,40.0
019,ชามแมว,140,350.0,200.0
020,กรงแมว,45,2500.0,1800.0
021,รถเข็น,80,1200.0,850.0
022,ทรายแมว,245,200.0,80.0
023,ที่ฟอก,7,14000.0,12500.0
024,ประตูแมว,20,2800.0,2300.0
025,คอกแมว,18,1900.0,1500.0
026,ที่ดูดฝุ่น,14,8500.0,7800.0
027,ตู้แช่,16,5200.0,4500.0
028,หวีแมว,90,450.0,250.0
029,เบาะเย็น,60,750.0,500.0
030,แท็กแมว,35,5500.0,4800.0
031,แชมพู,200,990.0,600.0
032,ตับหวาน,300,350.0,120.0
033,วิตามิน,280,300.0,100.0
034,แผ่นรอง,500,150.0,40.0
035,ยาหยอด,70,650.0,400.0
036,พรมดัก,55,900.0,650.0
037,อบโอโซน,10,8900.0,7500.0
038,ตาชั่ง,10,3500.0,2900.0
